epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,499.365,1.81915,3.86913,1.74243,0.3462,0.52968,0.3808,0.27954,1.06228,2.34966,1.29714,0.00023562,0.00023562,0.00023562
2,836.493,1.12862,2.22249,1.21614,0.62005,0.7517,0.75635,0.58745,0.86965,1.4925,1.13606,0.000457991,0.000457991,0.000457991
